Código executado via script automatizador de testes.
17:50:28, 24/07/17, Monday
params: -E 3600 -A 1024 -p 1 -n 10 -a 2 -b 8 -r 0.9 -t 100000 -g 10 -m 25 -M -d 0.9 -N 100 -v -k 15 -k 15

-------------------------------------------------
COLORANT
-------------------------------------------------
Parameters:
  Alpha..................................: 2.00
  Beta...................................: 8.00
  Rho....................................: 0.90
  Ants...................................: 1024
  Pheromone scheme.......................: All ants + Best ant + Best colony
  Change pheromone scheme after 10 iterations.
  Memory Usage:
	Memory size......................: 256 (25 of 1024 - ants)
	Delta............................: 0.90
-------------------------------------------------
TABUCOL
-------------------------------------------------
Parameters:
  Iterations.............................: 100000
  Change tabucol scheme after 100 cycles.
	Initial scheme: Dynamic
  Apply tabu search only on the best ant.
-------------------------------------------------
GENERAL Options
-------------------------------------------------
  CPU threads............................: 12
  K......................................: 15
  Time...................................: 3600.00
  Seed...................................: 60834170646268 (nrand)
  Running on verbose mode.
-------------------------------------------------
Cycle 88 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 89 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 90 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 91 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 92 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 93 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 94 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 95 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 96 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 97 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 98 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 99 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 100 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 101 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 102 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 103 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 104 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 105 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 106 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 107 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 108 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 109 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 110 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 111 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 112 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 113 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 114 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 115 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 116 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 117 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 118 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 119 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 120 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 121 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 122 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 123 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 124 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 125 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 126 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 127 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 128 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 129 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 130 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 131 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 132 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 133 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 134 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 135 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 136 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 137 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 138 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 139 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 140 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 141 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 142 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 143 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 144 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 145 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 146 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 147 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 148 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 149 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 150 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 151 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 152 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 153 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 154 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 155 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 156 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 157 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 158 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 159 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 160 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 161 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 162 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 163 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 164 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 165 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 166 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 167 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 168 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 169 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 170 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 171 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 172 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 173 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 174 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 175 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 176 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 177 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 178 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 179 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 180 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 181 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 182 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 183 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 184 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 185 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 186 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 187 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 188 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 189 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 190 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 191 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 192 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 193 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 194 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 195 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 196 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 197 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 198 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 199 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 200 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 201 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 202 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 203 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 204 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 205 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 206 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 207 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 208 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 209 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 210 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 211 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 212 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 213 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 214 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 215 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 216 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 217 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 218 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 219 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 220 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 221 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 222 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 223 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 224 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 225 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 226 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 227 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 228 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 229 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 230 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 231 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 232 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 233 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 234 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 235 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 236 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 237 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 238 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 239 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 240 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 241 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 242 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 243 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 244 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 245 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 246 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 247 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 248 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 249 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 250 - Conflicts found: 5 (edges), 9 (vertices)
Cycle 251 - Conflicts found: 0 (edges), 0 (vertices)

-------------------------------------------------
SOLUTION:
-------------------------------------------------
No. of colors utilized.............: 15
No. of conflicting edges...........: 0
No. of conflicting vertices........: 0
Real time..........................: 360.678598
Spent Time.........................: 360.678597
Spent time (ACO)...................: 255.366395
Spent time (LS)....................: 105.312202
Time to the best...................: 360.543277
Total of cycles....................: 251
Cycles to the best.................: 251
Stop criterion.....................: 3
-------------------------------------------------
